id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
597,36,1,1,1,0,1,131471,24,0,bad
598,31,1,2,1,0,3,86025,18,1,bad
599,32,1,2,0,0,3,119753,24,0,good
600,45,0,2,1,0,1,72199,7,5,good
601,30,0,2,1,0,1,28458,9,4,bad
602,34,0,1,0,0,1,56947,24,3,bad
603,28,0,3,1,0,3,103819,36,4,bad
604,23,0,2,1,0,2,39525,10,4,good
605,22,1,2,1,2,0,87668,24,4,good
606,74,1,3,1,0,3,140306,24,0,good
607,50,0,2,0,1,1,82801,36,5,bad
608,33,1,2,1,0,3,63581,18,5,good
609,45,1,2,0,4,3,40300,15,1,good
610,22,0,2,1,1,0,22971,12,2,bad
611,48,0,1,0,1,2,38440,10,1,bad
612,29,0,2,1,3,0,104067,21,5,good
613,22,0,2,2,0,0,112592,24,1,good
614,22,0,2,1,0,3,56048,18,4,bad
615,48,1,3,1,4,1,378324,48,0,good
616,27,1,3,0,4,1,283867,60,5,good
617,37,1,2,2,0,0,113956,6,1,good
618,21,0,2,2,1,1,106671,30,4,bad
619,49,1,1,1,0,3,19840,12,1,good
620,27,1,2,1,0,1,113212,21,0,good
621,32,1,2,1,0,3,47430,18,1,bad
622,38,1,2,1,4,3,121334,48,0,bad
623,22,0,2,2,0,0,57598,12,4,good
624,65,1,2,0,0,0,80600,18,5,bad
625,35,1,2,1,4,3,61349,15,5,good
626,41,1,2,1,0,2,65596,6,4,good
627,29,1,2,1,1,1,44547,9,1,bad
628,36,1,2,1,2,3,125302,42,4,good
629,64,1,1,1,4,3,118792,9,3,good
630,28,0,2,1,0,0,113460,24,5,good
631,44,1,2,1,0,0,48143,18,4,bad
632,23,1,2,1,4,1,44764,15,5,good
633,19,0,2,2,0,3,61380,9,4,bad
634,25,0,1,1,0,1,42005,24,1,bad
635,47,1,2,1,0,3,43183,12,3,good
636,28,0,2,1,2,3,42656,24,5,good
637,21,1,2,1,0,3,485243,60,5,good
638,34,0,2,1,0,3,46283,12,5,good
639,26,1,2,1,0,0,135470,42,5,bad
640,27,0,0,1,0,0,23250,18,3,bad
641,38,1,1,1,0,1,40548,15,6,good
642,40,1,3,1,1,3,143313,15,3,bad
643,33,1,2,1,0,3,57381,24,5,good
644,32,1,3,1,0,0,58280,18,5,good
645,27,1,2,2,4,3,247380,36,0,bad
646,32,1,2,1,0,0,142073,30,4,good
647,26,0,2,1,2,3,42966,12,1,bad
648,38,1,2,0,0,2,29357,24,1,bad
649,40,1,1,2,0,0,21204,12,3,bad
650,50,1,3,0,0,0,231756,48,3,good
651,37,1,1,1,0,1,59582,12,4,bad
652,45,1,2,1,0,0,71393,24,1,bad
653,42,1,3,1,1,1,250666,36,1,bad
654,35,1,2,1,0,3,72726,24,1,good
655,22,1,2,0,0,0,123163,14,1,good
656,41,1,1,1,0,1,27528,12,1,bad
657,37,1,2,1,4,3,316882,48,5,good
658,28,0,2,1,0,1,130851,30,0,good
659,41,1,2,1,0,1,197191,18,4,good
660,23,1,2,2,0,2,40207,12,5,good
661,23,1,2,1,4,0,27900,12,1,bad
662,50,1,2,1,0,3,69471,21,4,good
663,35,1,3,1,0,1,32550,6,4,good
664,50,0,1,1,0,2,32457,6,3,good
665,27,1,3,1,0,3,195734,24,7,good
666,34,1,2,1,3,1,108376,30,4,good
667,27,0,2,1,0,3,111879,48,0,good
668,43,1,2,2,0,0,150133,12,1,bad
669,47,1,2,1,0,2,93527,30,5,good
670,27,1,1,1,1,3,128309,24,0,good
671,31,1,2,1,1,3,178002,36,0,good
672,42,1,3,1,0,3,321346,60,1,good
673,24,1,2,1,2,3,64480,6,1,good
674,41,1,1,1,2,3,79980,21,0,bad
675,26,0,3,2,0,3,140430,30,5,good
676,33,1,2,1,0,3,159650,24,4,good
677,24,1,2,1,1,1,173445,72,5,bad
678,64,1,1,2,0,0,73904,24,5,good
679,26,0,2,1,0,3,45043,18,5,good
680,56,0,2,1,0,3,47678,6,3,good
681,37,1,2,0,4,3,70649,12,5,good
682,33,1,2,1,0,3,45818,15,5,good
683,47,1,2,0,0,3,158193,24,5,good
684,31,1,1,1,1,1,305567,36,0,good
685,34,1,2,0,4,3,202337,60,1,good
686,27,1,2,1,4,2,41757,10,5,good
687,30,1,2,0,1,1,88722,36,1,good
688,35,1,2,1,1,3,85343,9,5,good
689,31,1,2,1,3,0,113181,12,1,good
690,25,1,2,1,0,0,30225,15,4,good
691,25,0,1,1,1,1,81561,15,6,good
692,29,1,2,1,1,1,89776,24,5,good
693,44,1,1,1,4,0,146196,6,1,good
694,28,1,2,1,0,3,70804,24,5,good
695,50,1,2,2,2,3,38316,6,1,good
696,29,1,2,1,0,1,34193,12,5,good
697,38,0,0,1,0,3,28706,12,1,good
698,24,1,2,1,0,3,55800,18,5,good
699,40,1,3,2,0,2,59055,15,3,good
700,29,0,1,2,2,3,34813,12,4,bad
701,46,1,2,0,0,0,196261,48,1,bad
702,47,0,2,0,1,2,42687,24,5,good
703,41,1,2,1,1,1,77593,30,0,good
704,32,0,2,1,0,1,78368,27,0,good
705,35,0,2,0,2,3,165044,15,1,good
706,24,1,2,1,1,1,203360,48,1,bad
707,25,0,2,2,0,1,92039,12,4,bad
708,25,0,2,1,0,1,37386,9,5,good
709,37,1,1,1,0,1,65658,9,5,good
710,32,1,3,1,2,3,19499,18,5,good
711,35,0,2,0,0,0,37138,6,3,bad
712,46,1,3,1,4,3,76756,21,1,good
713,25,1,1,1,0,0,35278,9,5,good
714,27,1,3,1,0,1,434837,60,1,bad
715,63,1,2,1,4,3,235476,30,1,good
716,40,1,2,1,4,3,95387,30,5,good
717,32,1,3,0,0,3,46655,18,5,good
718,31,1,2,1,4,2,97588,24,5,good
719,31,1,2,1,1,1,190588,20,1,good
720,34,1,3,1,0,2,41447,9,5,bad
721,24,0,2,2,3,1,13423,6,3,bad
722,24,0,1,1,0,0,38068,12,1,bad
723,66,0,1,1,2,1,24490,9,5,good
724,21,0,2,2,0,3,79670,27,1,bad
725,41,0,1,1,3,3,7750,6,1,good
726,47,1,1,1,2,3,40796,15,5,good
727,25,0,2,2,0,0,58342,18,5,bad
728,59,0,2,2,0,1,198896,48,0,bad
729,36,1,2,1,3,2,39525,24,0,good
730,33,1,2,1,0,1,198493,24,5,good
731,21,1,1,2,0,0,61597,24,5,bad
732,44,0,1,1,0,1,23560,8,5,good
733,28,0,2,2,3,3,80693,24,1,good
734,37,0,2,1,0,3,104780,4,1,good
735,29,0,0,1,4,1,123690,36,2,good
736,23,0,3,2,0,1,358360,24,1,bad
737,35,1,1,1,1,0,135780,18,1,good
738,45,1,3,1,0,3,209591,6,1,good
739,26,0,1,2,1,1,132680,30,0,bad
740,32,1,2,1,1,0,72075,24,1,good
741,23,1,1,1,0,1,32488,10,5,good
742,41,1,2,1,4,3,97960,21,5,good
743,22,1,2,1,2,0,76973,24,4,good
744,30,1,3,1,4,0,439549,39,4,good
745,28,1,1,1,0,0,55707,13,0,good
746,23,0,2,2,0,0,77841,15,1,good
747,37,0,1,1,0,0,39494,12,1,bad
748,26,1,2,1,4,3,162688,21,1,good
749,33,1,2,1,0,3,93899,15,1,good
750,49,0,2,1,0,0,13268,6,4,good
751,23,0,1,1,0,0,30256,18,1,bad
752,23,0,1,2,1,1,26071,12,0,good
753,25,0,2,1,0,3,178901,30,5,good
754,55,1,2,0,3,3,48205,12,6,bad
755,32,0,2,2,4,0,39835,24,1,bad
756,74,1,0,1,0,2,40269,6,1,good
757,39,1,2,0,4,2,39401,15,5,bad
758,31,1,2,1,0,3,43183,24,1,good
759,35,1,2,1,0,0,21421,12,1,bad
760,59,0,2,1,4,3,156395,15,1,good
761,24,0,2,2,0,0,65844,18,4,bad
762,24,1,1,1,0,0,68634,12,5,good
763,30,1,3,0,4,3,393080,21,1,bad
764,27,1,2,1,1,3,76353,24,1,good
765,40,1,1,1,0,1,35805,12,5,good
766,31,1,1,1,0,0,96348,30,4,bad
767,31,0,2,2,4,3,89931,10,1,good
768,28,1,2,2,0,1,112127,12,4,good
769,63,1,1,1,0,3,51305,12,5,good
770,26,0,2,2,4,0,87172,24,1,good
771,25,0,3,1,0,0,250015,36,3,bad
772,36,1,3,1,0,3,101525,21,1,good
773,52,1,2,1,1,3,68913,24,5,good
774,66,1,0,0,2,2,45880,12,1,good
775,25,0,2,2,4,0,42501,24,1,bad
776,37,1,2,1,0,3,109585,36,1,good
777,25,0,2,1,0,0,108779,18,5,good
778,38,1,3,1,3,3,177041,36,1,good
779,67,0,2,1,0,1,120032,18,6,good
780,25,1,2,1,0,1,152923,39,5,bad
781,60,1,2,1,3,3,60140,24,1,good
782,31,1,1,1,0,1,43710,12,3,good
783,23,0,1,1,1,1,25916,12,1,bad
784,60,1,3,1,4,1,200508,20,1,good
785,35,1,1,1,3,1,60171,18,0,good
786,40,1,2,1,2,3,82925,22,5,good
787,38,1,2,1,4,3,85281,48,1,good
788,50,1,2,0,0,1,192944,48,3,bad
789,27,1,2,1,0,0,185938,40,3,bad
790,39,0,2,1,0,1,36828,21,0,bad
791,41,1,3,1,4,3,195703,24,1,good
792,27,1,2,1,4,3,37851,6,4,good
793,51,1,2,0,0,2,89652,24,4,good
794,32,1,2,2,2,3,94922,24,4,good
795,22,0,2,2,1,3,71331,9,4,good
796,51,1,2,0,4,0,232841,18,1,bad
797,22,0,1,2,0,3,38998,12,4,good
798,54,1,2,1,4,3,22227,24,1,good
799,35,1,0,1,4,1,48019,9,1,good
800,54,1,2,0,0,3,49507,24,3,good
801,48,0,1,2,0,1,55645,18,5,good
802,24,0,2,1,0,0,132432,20,4,good
803,35,1,2,1,4,3,30256,12,5,good
804,24,0,0,2,4,1,231632,12,1,good
805,24,1,2,1,0,0,287401,36,1,bad
806,26,1,1,1,0,1,18290,6,5,good
807,65,1,2,1,4,3,28830,12,5,good
808,55,1,3,0,0,1,287773,42,1,good
809,26,0,0,2,0,1,55118,15,1,bad
810,26,1,2,1,0,1,28117,8,0,good
811,28,1,1,1,0,1,15004,6,5,good
812,24,1,2,1,0,0,298499,36,1,bad
813,54,1,2,1,0,0,94581,48,2,bad
814,46,1,2,0,0,0,121861,48,1,bad
815,54,0,2,2,0,1,230392,36,1,good
816,62,1,2,1,2,3,41478,6,2,good
817,24,0,2,2,0,3,48174,6,5,good
818,43,1,3,1,0,0,491567,36,7,good
819,26,1,2,1,0,0,41695,18,5,bad
820,27,1,2,1,0,3,34131,12,1,good
821,24,1,2,1,0,2,93496,12,5,good
822,41,1,2,1,0,0,84072,36,4,bad
823,47,1,1,1,0,0,22661,8,1,good
824,35,1,3,1,0,3,117180,18,4,good
825,30,1,2,1,0,0,49662,21,1,good
826,33,0,2,2,0,0,122946,18,1,bad
827,36,1,2,1,0,3,129115,18,0,bad
828,47,1,2,0,4,0,258385,36,1,bad
829,38,1,2,0,4,1,207111,48,0,good
830,44,1,2,1,2,3,73625,24,0,good
831,23,0,2,2,0,0,37696,18,1,bad
832,29,1,2,2,0,0,366296,45,0,bad
833,42,0,2,1,4,1,157604,24,5,good
834,25,0,1,1,0,2,72137,15,5,bad
835,48,1,2,1,0,0,33542,12,1,bad
836,21,0,2,1,4,3,27466,12,5,good
837,23,0,1,2,0,3,18631,4,4,good
838,63,1,2,1,0,0,91667,24,1,good
839,46,1,2,1,0,3,80941,24,5,good
840,29,1,2,1,0,0,160549,36,4,bad
841,28,1,1,1,0,3,92783,21,1,good
842,23,0,2,1,0,3,60233,18,6,bad
843,50,1,2,1,0,3,48329,24,0,good
844,47,1,2,1,0,3,106082,18,4,good
845,35,1,2,1,4,1,123256,21,4,good
846,68,1,2,2,4,3,209591,18,1,bad
847,28,1,2,1,0,3,38719,24,1,good
848,59,1,2,1,0,0,42284,9,5,good
849,57,1,1,1,0,0,21979,12,5,bad
850,33,1,2,2,0,0,69285,20,1,bad
851,43,1,2,1,4,3,125302,24,1,good
852,35,1,2,0,0,3,45601,15,5,good
853,32,1,1,0,0,0,44702,18,1,bad
854,45,1,2,1,0,3,337125,36,1,good
855,33,1,2,1,1,3,45694,24,1,good
856,40,0,2,1,4,3,27714,10,3,good
857,28,1,2,0,0,3,103633,15,4,good
858,29,0,2,1,0,0,122729,15,1,bad
859,26,1,2,2,1,3,110887,9,1,good
860,27,1,2,1,3,3,179924,24,1,good
861,28,1,2,1,0,3,67239,18,0,bad
862,35,0,2,1,0,0,75609,24,5,bad
863,32,1,1,1,3,3,140306,27,4,good
864,25,1,1,2,0,3,68510,10,4,bad
865,20,0,2,2,2,3,68851,15,4,good
866,27,0,2,1,0,0,74059,18,5,good
867,42,1,2,1,0,3,103261,12,4,good
868,37,1,2,1,4,3,229679,36,0,good
869,24,0,2,2,0,0,20212,12,4,good
870,40,0,2,1,2,3,238018,36,4,good
871,46,1,2,1,0,2,41633,6,1,good
872,26,1,2,1,1,0,42842,24,0,good
873,24,0,2,1,4,3,27094,15,2,good
874,29,1,1,1,0,0,111290,12,4,good
875,40,0,2,1,3,1,40982,11,1,good
876,36,1,3,0,0,0,60140,18,5,good
877,28,1,2,1,0,3,111445,36,5,good
878,27,1,3,0,0,0,44082,9,1,bad
879,36,1,2,1,4,3,209002,30,5,good
880,38,1,3,1,0,3,242234,24,1,good
881,48,1,2,0,4,3,287587,24,1,good
882,36,1,2,1,4,1,67611,30,1,good
883,65,0,0,1,0,3,34038,18,5,good
884,43,1,2,1,0,1,125767,24,4,bad
885,53,0,2,1,0,0,24645,12,3,bad
886,34,1,2,1,4,1,87575,24,0,good
887,23,1,2,1,0,1,485832,48,0,bad
888,34,1,3,1,0,3,205034,36,1,good
889,40,1,2,2,4,3,242544,28,1,good
890,43,1,3,1,0,0,75702,27,0,good
891,46,1,2,1,0,3,56699,15,5,good
892,38,1,1,1,0,0,67301,12,1,good
893,34,1,2,1,0,1,179800,36,1,good
894,29,1,2,1,4,3,36239,18,5,good
895,31,1,3,1,4,3,277357,36,1,good
896,28,0,3,2,0,0,80786,21,5,good
897,35,0,2,1,3,3,49352,12,4,good
898,33,0,1,2,4,3,67766,15,4,good
899,42,1,2,1,0,0,128743,18,4,bad
900,43,1,2,2,0,0,81375,16,1,bad
901,44,1,2,1,4,3,108035,20,1,good
902,42,1,2,0,4,3,324787,36,1,good
903,40,1,2,2,4,3,42966,15,5,good
904,36,1,3,1,0,3,39618,24,5,good
905,20,1,3,2,0,0,34317,12,5,good
906,24,1,1,1,4,0,116653,21,1,good
907,27,1,2,1,4,1,115041,36,3,good
908,46,0,1,1,0,3,111414,15,1,good
909,33,0,1,1,4,1,99045,9,1,good
910,34,0,2,1,0,3,138074,36,5,good
911,25,0,1,1,0,1,146816,24,4,bad
912,25,0,2,1,4,1,92721,30,5,good
913,28,1,2,1,3,3,66402,11,0,good
914,31,1,2,2,0,0,97991,24,0,bad
915,32,0,3,1,0,1,571144,48,7,bad
916,32,1,2,1,1,3,88288,10,1,good
917,68,1,3,1,0,0,461776,6,1,bad
918,33,1,2,1,1,0,73129,24,4,bad
919,39,1,3,2,0,0,103695,24,4,bad
920,28,0,2,1,0,3,56327,18,4,good
921,37,1,3,1,2,3,395219,48,5,good
922,22,0,2,2,0,0,42346,9,5,bad
923,30,1,2,2,0,1,62062,12,1,good
924,55,1,2,1,0,0,213032,24,4,bad
925,46,1,2,1,0,0,21607,12,1,bad
926,21,0,2,2,0,0,32519,18,4,good
927,39,1,2,0,0,0,319207,48,1,bad
928,58,1,2,1,4,3,57877,30,5,good
929,43,1,1,1,0,0,41664,12,1,good
930,24,1,1,1,0,0,54157,24,4,good
931,22,0,2,1,0,1,51770,9,5,bad
932,30,1,2,1,0,3,37944,9,1,good
933,42,1,2,1,2,3,16182,12,5,good
934,23,0,2,1,0,0,46438,12,5,good
935,30,1,3,1,1,1,59489,30,5,bad
936,28,0,1,1,0,2,23095,9,5,bad
937,30,1,3,2,0,1,63953,6,5,good
938,42,1,2,0,0,1,194928,60,3,bad
939,46,1,3,1,4,3,212102,24,1,good
940,45,1,3,1,4,3,109337,12,1,good
941,31,1,1,1,0,3,47926,10,1,good
942,31,1,2,1,4,3,28799,24,4,good
943,42,1,1,1,0,3,45105,4,1,good
944,46,0,2,2,0,0,57195,15,4,good
945,30,0,2,1,2,1,259098,48,1,good
946,30,1,2,0,2,0,103819,24,4,bad
947,38,1,3,1,4,3,88629,12,1,good
948,43,1,1,1,0,3,47523,18,4,bad
949,31,1,2,1,1,3,112251,24,5,bad
950,40,1,0,1,0,1,111290,18,0,good
951,24,1,2,1,0,0,66495,36,0,bad
952,28,0,2,2,2,1,127503,24,1,bad
953,26,0,3,1,0,3,340194,36,4,bad
954,29,0,2,1,0,0,58683,12,1,good
955,57,0,3,2,3,0,38161,24,5,good
956,49,1,1,1,4,2,113336,30,5,good
957,37,1,1,1,0,1,35774,9,5,good
958,45,1,1,1,0,0,124186,28,1,bad
959,30,1,2,0,1,1,95139,24,4,good
960,30,1,2,2,0,3,53940,6,5,good
961,47,1,2,1,0,1,72943,21,1,good
962,29,1,2,1,4,3,110236,15,1,good
963,35,1,2,1,2,3,74307,24,5,bad
964,22,1,1,1,0,1,14074,6,6,good
965,26,0,2,1,4,1,53165,30,5,good
966,23,1,1,1,2,1,78120,27,5,bad
967,54,0,3,2,0,3,110608,15,5,good
968,29,1,2,2,4,3,222146,42,5,good
969,40,1,1,1,0,0,122109,11,1,good
970,22,1,2,1,1,1,46934,15,6,good
971,43,1,1,1,0,3,229183,24,1,good
972,29,0,0,2,0,0,36983,24,1,bad
973,36,1,2,2,0,0,226207,60,0,bad
974,33,0,2,1,0,3,87761,30,5,good
975,57,0,1,1,2,2,38998,24,5,good
976,64,0,2,1,0,1,23343,6,5,good
977,42,1,2,1,4,1,75237,18,0,good
978,47,1,1,1,0,3,78678,24,1,bad
979,25,1,2,2,1,1,39184,15,1,bad
980,49,1,2,1,0,1,259966,30,4,bad
981,33,1,3,2,0,3,150164,48,0,bad
982,28,0,3,1,1,2,90613,21,1,good
983,26,1,2,1,0,0,255099,36,1,bad
984,30,1,1,1,0,3,62868,24,4,good
985,25,0,2,2,0,0,44423,15,4,good
986,33,1,2,1,0,2,194959,42,0,good
987,64,0,2,1,1,3,43679,13,5,good
988,29,1,3,0,0,0,203949,24,1,good
989,48,1,1,1,0,1,54033,24,5,good
990,37,1,1,1,4,3,110515,12,3,good
991,34,1,1,1,1,3,48639,15,5,good
992,23,1,1,2,4,0,60016,18,5,good
993,30,1,3,1,0,0,122729,36,4,good
994,50,1,2,1,4,3,74090,12,1,good
995,31,0,1,1,0,3,53816,12,4,good
996,40,1,3,1,0,0,119567,30,1,good
997,38,1,2,1,0,3,24924,12,5,good
998,23,1,2,0,0,0,57195,45,5,bad
999,27,1,2,1,1,1,141856,45,1,good
